Image Name                     PID Session Name        Session#    Mem Usage
ShellExperienceHost.exe      21932 RDP-Tcp#143                6     65.588 K
ShellExperienceHost.exe      22460                            4     66.628 K
ShellExperienceHost.exe      23244                           13     46.444 K
sihost.exe                    3428 RDP-Tcp#8                  2     27.332 K
sihost.exe                    8032 RDP-Tcp#94                 3     28.204 K
sihost.exe                   14904                            8     27.144 K
sihost.exe                   15088                            4     26.316 K
sihost.exe                   16728                           10     26.416 K
sihost.exe                   24836                           13     27.956 K
sihost.exe                   25520 RDP-Tcp#143                6     26.704 K
smartscreen.exe               3876 RDP-Tcp#94                 3     27.256 K
smartscreen.exe               7452 RDP-Tcp#8                  2     27.332 K
smartscreen.exe              13796                           10     26.436 K
smartscreen.exe              14500                            4     24.868 K
smartscreen.exe              18208                            8     26.632 K
smartscreen.exe              26140                           13     25.352 K
smartscreen.exe              27940 RDP-Tcp#143                6     40.284 K
smss.exe                       504 Services                   0      1.196 K
spoolsv.exe                   3252 Services                   0     32.540 K
svchost.exe                    584 Services                   0     28.508 K
svchost.exe                    928 Services                   0     19.148 K
svchost.exe                    972 Services                   0     18.348 K
svchost.exe                    984 Services                   0      4.332 K
svchost.exe                   1008 Services                   0     28.736 K
svchost.exe                   1052 RDP-Tcp#8                  2     15.392 K
svchost.exe                   1084 Services                   0    264.860 K
svchost.exe                   1152 Services                   0      8.240 K
svchost.exe                   1160 Services                   0      7.616 K
svchost.exe                   1164 Services                   0     14.524 K
svchost.exe                   1252 Services                   0      8.900 K
svchost.exe                   1280 Services                   0     10.608 K
svchost.exe                   1288 Services                   0     12.796 K
svchost.exe                   1304 Services                   0     29.404 K
svchost.exe                   1384 Services                   0     11.676 K
svchost.exe                   1424 Services                   0     10.888 K
svchost.exe                   1512 Services                   0     13.484 K
svchost.exe                   1640 Services                   0     26.900 K
svchost.exe                   1672 Services                   0     12.556 K
svchost.exe                   1736 Services                   0     19.100 K
svchost.exe                   1772 Services                   0     10.204 K
svchost.exe                   1824 Services                   0     12.688 K
svchost.exe                   1832 Services                   0      6.268 K
svchost.exe                   1840 Services                   0      9.036 K
svchost.exe                   1932 Services                   0     18.136 K
svchost.exe                   1964 Services                   0      8.340 K
svchost.exe                   2016 Services                   0     10.828 K
svchost.exe                   2112 Services                   0      8.516 K
svchost.exe                   2252 Services                   0      9.620 K
svchost.exe                   2260 Services                   0      8.200 K
svchost.exe                   2268 Services                   0      7.464 K
svchost.exe                   2300 Services                   0     36.276 K
svchost.exe                   2368 Services                   0     15.340 K
svchost.exe                   2428 Services                   0     12.816 K
svchost.exe                   2544 Services                   0     14.068 K
svchost.exe                   2552 Services                   0      9.136 K
svchost.exe                   2560 Services                   0      9.272 K
svchost.exe                   2576 Services                   0     12.632 K
svchost.exe                   2800 Services                   0      9.132 K
svchost.exe                   2824 Services                   0     17.500 K
svchost.exe                   2872 Services                   0     13.692 K
svchost.exe                   3080 Services                   0     10.312 K
svchost.exe                   3184 Services                   0     17.444 K
svchost.exe                   3208 Services                   0     14.460 K
svchost.exe                   3448 Services                   0      7.768 K
svchost.exe                   3468 Services                   0      7.588 K
svchost.exe                   3476 Services                   0     47.344 K
svchost.exe                   3492 Services                   0      6.828 K
svchost.exe                   3500 Services                   0     18.792 K
svchost.exe                   3528 Services                   0     18.180 K
svchost.exe                   3536 Services                   0      6.048 K
svchost.exe                   3560 Services                   0     12.668 K
svchost.exe                   3568 Services                   0     24.380 K
svchost.exe                   3584 Services                   0      9.504 K
svchost.exe                   3956 Services                   0     12.844 K
svchost.exe                   3964 Services                   0      8.940 K
svchost.exe                   4552 RDP-Tcp#8                  2     28.932 K
svchost.exe                   5300 Services                   0      8.104 K
svchost.exe                   5520 RDP-Tcp#94                 3     15.260 K
svchost.exe                   5536 Services                   0     14.936 K
svchost.exe                   6228 Services                   0     33.052 K
svchost.exe                   6788 Services                   0     38.792 K
svchost.exe                   6916 Services                   0     10.800 K
svchost.exe                   7184                           13     15.248 K
svchost.exe                   8372 RDP-Tcp#94                 3     26.364 K
svchost.exe                   8588 Services                   0      6.236 K
svchost.exe                   8896 RDP-Tcp#8                  2     17.736 K
svchost.exe                   9180 RDP-Tcp#8                  2      8.748 K
svchost.exe                   9396                           13     26.176 K
svchost.exe                  10288                            4      8.724 K
svchost.exe                  12448                            4     25.980 K
svchost.exe                  13464                           10     28.380 K
svchost.exe                  13504                            4     15.180 K
svchost.exe                  15724 RDP-Tcp#94                 3      9.232 K
svchost.exe                  15908                           13      8.804 K
svchost.exe                  16028 Services                   0     23.976 K
svchost.exe                  16100                            8     26.288 K
svchost.exe                  17004                            8     15.296 K
svchost.exe                  17336                           10     15.268 K
svchost.exe                  23176                            8      8.684 K
svchost.exe                  24616 RDP-Tcp#143                6     31.204 K
svchost.exe                  25632 Services                   0     11.348 K
svchost.exe                  26584 Services                   0      6.232 K
svchost.exe                  26608 RDP-Tcp#143                6     15.272 K
svchost.exe                  27560                            8     18.132 K
System                           4 Services                   0        152 K
System Idle Process              0 Services                   0          8 K
taskhostw.exe                 2584 RDP-Tcp#8                  2     15.556 K
taskhostw.exe                 4528                           13      8.684 K
taskhostw.exe                 4892 RDP-Tcp#8                  2     21.948 K
taskhostw.exe                 7580 RDP-Tcp#94                 3     15.104 K
taskhostw.exe                 8236                            8      8.664 K
taskhostw.exe                10088 RDP-Tcp#143                6      8.636 K
taskhostw.exe                10348                            4     12.444 K
taskhostw.exe                11200                            4      8.780 K
taskhostw.exe                13152                           10     14.928 K
taskhostw.exe                14088                            8     14.024 K
taskhostw.exe                16800                           10     13.488 K
taskhostw.exe                25188                           13     13.420 K
taskhostw.exe                26548 RDP-Tcp#143                6     14.008 K
taskhostw.exe                28620 RDP-Tcp#94                 3      9.276 K
tasklist.exe                 23620 RDP-Tcp#94                 3      8.028 K
Taskmgr.exe                   7808 RDP-Tcp#8                  2     73.568 K
Taskmgr.exe                  27964                            4     47.672 K
Veeam.EndPoint.Service.ex     4248 Services                   0     71.840 K
Veeam.Guest.Interaction.P     5136 Services                   0     10.080 K
VeeamDeploymentSvc.exe        3704 Services                   0     13.204 K
VeeamTransportSvc.exe         3516 Services                   0     10.260 K
wininit.exe                    700 Services                   0      7.552 K
winlogon.exe                   772 Console                    1     10.528 K
winlogon.exe                  5428 RDP-Tcp#94                 3     10.204 K
winlogon.exe                  6708 RDP-Tcp#8                  2     10.236 K
winlogon.exe                 11976                           13      9.968 K
winlogon.exe                 16112                            4     10.008 K
winlogon.exe                 16484                           10     11.460 K
winlogon.exe                 17344                            8     11.712 K
winlogon.exe                 26504 RDP-Tcp#143                6      9.784 K
WmiApSrv.exe                  5848 Services                   0      8.024 K
WmiPrvSE.exe                  4468 Services                   0     41.780 K
WmiPrvSE.exe                  5004 Services                   0     13.640 K
WmiPrvSE.exe                 15616 Services                   0     24.656 K
XWin_MobaX.exe               28224 RDP-Tcp#143                6     17.700 K
zabbix_agent2.exe             3744 Services                   0     40.296 K
